svenska,engelska
no hope,Despair
avskyvärd,despicable   a
hårt och någa arbetande,diligent    a
avvikelse,discrepancy
"oorganiserad, yr",Disheveled
"olikhet, skillnad",disparity
"personlighet, karaktär",Disposition
sprida,Disseminate
skingra,Dissipate
"destilera, rena",distil
Tvinga någon till något obehagligt,Distrain
orädd,doughty
elak,draconian        a
extremt glad,elated    a
frambringa,elicit
Come out from a source,Emanate
lura till sig pengar,embazzle
uttrycka sina känslor,Emote
innefatta,encompass     v
"att försöka, att sträva",endeavor
framkalla,Engender
"medföra, leda till",entails
ihålligt övertala,entreat
"befästa sig, gräva ner sig",entrenche
deleted,eradicated
ologisk argumentering,eristic
"lärd, välutbildad",erudite   a
unkomma,evade
"överdrift, överskott",Excess
utöva,Exert
"fysisk energi, hårt arbete",exertion
extreem joy,Exhilaration
lovorda,extol
frigöra,extricate
felaktig slutsats,fallacy
"vild, barbarisk",feral  a
maraton talare som hindrar votering,filibuster
"shocked, bewildered, disoriented",Flabbergasted
fokus punkten,focal point
fiende,foe
kommande,forthcoming
streangthen protection,fortification
klen,frail
Crazy,Frenzy
"marginell, pereferin",fringe    s
slug,furtive    a
no result,futile
frosseri,gluttony      s
oönskad,gratuitous   a
hindra,hamper
återvända,hark
snobbig på negativt sätt,haughty   a
extremt,immensely
"hotande nära, a strike is imminently near",imminently
perfekt,impeccable
nödvändigt befallande,imperative
oförsämd,impertinent   a
inkappabel till lugn,implacable   a
tjata,Importune
oförskämd,impudent  a
"invigning, installation of president",Inauguration
start,inception
begynnande,incipient
"klar, skarpsinning och direkt",incisive   a
tjänsteman,incumbent
justified anger,Indignation
lat,indolent a
"skämma bort, lyx",indulge        v
tålamodig,indulgent      a
"Powerless, futile",ineffectual
okappabel,inept   a
handlings och rörelse förlamand,Inertia
ökändhet,infamy   s
motsätta sig,infringe    v
essential part,Inherent
medfödd,innate
ej möjlig att tillfredställa,insatiable    a
oförskämd,insolent  a
provocera,instigate
isolerad,insular      a
modig,intrepid      a
göra sig av med,jettison
chruch bell,knell        s
"mild, överseende",lenient
belägga (skatt),levy
föra juridisk dispyt,litigate       v
obenägen,loath
motsättning,loggerheads
skuggar över på hotfullt sätt,looms over
"sned, lutar",lopsided
"klar, intelligent",lucid
stå och lura,lurk
make mandetory,Mandate
egensinnig,maverick     s
ordnings regler,maxim    s
extremt någa med detaljer,meticulous    a
"dunkel, otydlig",obscure
"svårt prov, prövning",ordeal
någrann,painstaking
falla i smak,Palatable
"märkbar, perceptible to the eye",perceptible
"placera, ställa ner",perch
föreviga,perpetuated
relevant,pertinent
relateras till,pertain
bild liknande,Picturesque
återställa lugn,Placate
lugn,placid    a
trolig,plausible
"plädera, argumentera för något",plead
"intensiv, gripande",Poignant
aggresivt attackera någons åsikt,polemic
"riskabel, osäker",precarious
nedstördande fall,precipitating
förspel till händelse,prelude     s
"obeslutsam, oklar över situation",preplexed
svepskäl,Pretenses
svepskäl,pretext
segra,Prevail
allmänt rådande opinion,Prevailing
"vanligt, normalt",Prevalent
"Förhala, fördröja",Procrastinate
exponentiell ökning,Proliferation
att ha anlag för,prone
gudomlig ledning,providence
försörja,provision
"förnuft, god omdöme",prudence
klok och vis,Prudent
"träsk,  sörja",quagmire
dilemma,quandary
"ansluta, gruppera",rally
"rutten, dålig (tex frukt)",rancid       a
bitterness,Rancor
express violently,rant
vara galen,rave
återhävda,reasserting
"avvisad, avslag",rebuffed
"ge efter, mjukna",relent
"give up, surrender",relinquish
påminnande,reminicent
återgälda,render
avsäga,renouncing
"klandervärd, värd att klaga på",Reprehensible
"hämmande, nedtryckande",Repressive
"reprimand, tillrättavisning",reprimand
"anger, hate",Resentment
återfjädra,resilient
conferans för rekreation under handledning,retreat
revenge,retribution
refflektera,Reverberate
klyfta,rift
"lugn, fredfull",Serene
kraftig slag,smite
trohets ed,solemn oath
betalningsförmåga,solvency
lösningsmedel,solvent
rymmlig,spacious
lurig,specious
sprut ut ur lite öppning,squirt
Entierly,Stark
kamp,strife
konsist och väluttryckt,succinct
falla för,Succumbing
"ersätta, tränga undan",supplant
"pågående, ofullständig",Tentative
"utvecklande, lönsamt",thrifty
develop,Thrive
"Tippa, störta",Topple
karaktärs drag,trait
lugn,Tranquil
transparent,Translucent
dike,trench
skarpsinning,trenchant
"anstöt, missnöje",umbrage
"överdrivet, orättfärdigat",unduly
ensidig,unilateral
"obotfärdig, förhärdad",unrepentant
avtagande,Wane
exponera sig för fara eller risk,venture
mångsidig,versatile 
"försvara, rättfärdiga",vindicate
hämndlysten,vindictive
avkastning,yield
"personlig läggning, vana",predilection     s
"överflödande, överflödigt",rife    a
"restorera, återställa",refurbish    v
vägra acceptera,repudiate    v
detaljerad granskning,perusal      s
"vältalig, gripande",eloquent      a
förtrolla,enchant   v
hat,rancor
spännd,strained
förening av nationer,rapprochement      s
flacka om kring,stray
flacka om kring,wander
sanningshalt,veracity    s
överträffande,staggering     a
mutual dependency,reciprocity
refferera,cite   v
oskjälvisk,selfless
minsta del av något,modicum
dyster,morose
dyster,gloomy
dyster,sullen
stort nummer eller antal,myriad        a
low point,nadir           s
osignifikant,nominal     a
vara omdeveten om något,oblivious     a
to attach,affix
smeknamn,moniker      s
"förvirra, röra till",muddle      v
trotsig,defiant
defekt,wart        s
appealing to emotions ,melodramatic      a
"terrifying, resembling a ghost",ghastly    a
våldsamt brutal,grisly
förskäckande,lurid    a
secret,covert
"försvåra, förhindra",impede      v
degradera,disparage     
löjlig,ludicrous
"omedvetet, oaktsamt",inadvertent
"heder, vördnad",deference
övertyga,coax
otvivelaktigt,inconvertible
folkmassa,throng
troligt,contingent
härstammande,indigenous         a
"bli avskräckt, bli förfärad",dismay
"omgiven av, bland",amid
"allvarlig, dyster",solemn 
huka sig,bog
förbredd,poised
fördröjning av någon lagligt bindande aktivitet,moratorium
effektiv resultering,leverage
"kombinera, slåsamman",compound
"komplement, motsvarande person i samma ställning",counterpart
kompensation i betalform,remuneration
schokande,appall    a
lura     ,ruse
"diskutabel, värt att argumenetera",moot
maskerad,cloaked
stöta bort,stave off
"neutralisera, motverka",counteract
"ruinerad, förstörd",blighted
"obvious,självklart,tydligen",overtly
"tilldragande, lockande",enticed
"tollerera, utstå, lida",bear
"retropektivt, nostalgisk",retrograde
"utstå, lida",endure
enligt rätten,duly 
"kompensera för, balansera mot, motverka med",countervail
"mode, trend",fad
omvänt,conversley
avvisad ,shunned
"helheten, holikstisk",holistic
"supreme, dominant",paramount
jämnlikhetskämpe,egalitarian
kompetent,apt
säreget personlighets drag,Idiosyncrasy
"upptäckande, experimentell",heuristic
drivkraft,Impetus
åter gå,revert
"märkbar, iögonfallande",conspicuous
"insinuerad, indikera utan att uttrycka",tacit
förskräcklig,formidabel
"förskräckande, paralyserande",gorgonize
förskräckande,petrify
"trollbinda, hypnotisera",mesmerize        v
mörda,slay       v
"slug, smart",cunning       s
"konsekvensen, resultated",ramification    s
välja de bästa delarna ut olika stilar och filosofier,eclectic
"svära, trohet",vow
"fokuserat, observant",attentive
"dränkt, genom blöt",drench
"bedöma, tolka",mediate
enormt,vastly
utrensning,purge
"stav, påvestav",staff
konflikt,clash
pumpa in,siphon
"tro, princip",tenet
förgrena ,ramify     v
leverantör,purveyor
"falsk, förfalskad",spurious
"läkas, repareras",mend
skrik,shriek
utplåna från plats och minne,obliterate
"omringad, belägrad",beset
fuska,bungle
mäta storlek,gauge
visa missnöje offentligt,decry
"föringa någons värde, degradera ",belittle
avsätta någon,oust
"gå samman, förenas",consolidate
att forma något    verb,forge
"nonchalant, tillbaka lutad   adj",glib
snabbt      adj,swiftly
"genomträngande, penetrerande",permeable
"proklamera, påstå",predicate
,gainsharing
anta lag,enact
"ventil, fritt utlopp",venting
"insatt, bevandrad",conversant
detailed explination,explicate
"vardaglig, praktisk",mundane
undvika,eschew
"portretera, rita",delineate
"överflödigt, överskott",plethora
bli ämbetsman,induct
oengagerad,perfunctory                a
lovorda,laud
"minska, korta av",curtail
fylla på,replenish                         v
,
löneförmån,perk
jämföra,collate                    v
,
"även om, fast än",albeit
"beträda, trampa på",tread
"sammansättning, samansätta","composite                    a, s, v"
,concert
förlängning,annexe
skära bort,truncated
tillskrivning,attribution                   s
,
index i plural,indices
"medge, hålla med om",concede
"spets, klo",prong
i sig själv,per se
"antyda, förebåda",herald
anställningstid,tenure
förbättring av regel,amend
lärorik,instructive
medbrottsling,accomplice
genomsyra,pervade
ovetande,unwitting 
ogenomtränglig,impervious
ogenomtränglig,impermeable
"fördjupa sig, tagen av, absorberad i",immersed
utrotning av judar,annihilation of jews
"skjuta upp, fördröja",defer 
"upptäcka, gräva upp ur jord",unearth
förlänga i tid,protract
adheren of legal view instead of moral view,legalistic
"löfte, lova",pledge
jämra sig,groan
"stöna, gnälla",moan
ransaka,ransack
"förvirra, röra till",befuddle
sörja,mourn
beklaga,lament
försämring,impairment
klaga,wail 
utgöra,pose
var i infekterat sår,pus
förkorta,curtail 
mest framträdande,doyen
drivafram,propel
"ogillande, obeviljande",deprecation
härja vilt och våldsamt,ravage
härja och pludra,ravish
göra sig beredd,to lay waste
"work of art, arrangemang, sammansättning",composition
behålla sin stil,compose
samling,compilation
"övernaturligt, mystiskt",occult
förneka,refute
förvarning,premonition
enstöring,recluse
sansad,level-headed
framåtanda,gumption
fattig stackare,pauper
smärtsam,distressing
finrum,parlor
ginissla tänder,grit
fuktig,damp
slänga,drape
pung,pouch
stötta upp,prop up
pga,on account of
avdelning,ward
skiva ner snabbt,scribble
modelmassa,plasticine
fynka pannan,frown
våldsam,fierce
"sladd, sladda",skid
stänkskärm,mudguard
motorhuv,bonnet
"ta sig loss, befria sig",disentangle oneself
kugghjul,cog
ill röd,crimson
nedåtböjd,drooping
"ofärsk, gammal",stale
klämma,clamp
äcklig,sickly
stank,stench
motargument,counter arguments
glömska,oblivion
"kliv, steg",stride
eldflamma,blaze
knölig,lumpy
uttrycka och känna sympati,commiserate
"gnissla, jämra sig",groan
stup,precipice
rusade,flung
"fart, kraft",momentum
"lugg, periferi, marginell",fringe         
"stäng, hård person",grim
"fuktig, rå",dank
krypa ihop,snuggle down
utbuktning,bulge
"gå, tempo",pace
avsats,ledge
klättra,scramble
knipa efter luft,gulp for air
flämta,gasp
snyfta,sob
"veva, rulla",reel
klättra,clamber
hänga,droop 
fläckig,mottled
eftervärlden,posterity
välvillig,benign
"mullvad, spion",mole
rutten ,putrid
"nedstättande, degraderande",derogatory
förakt,contempt
behandla nedlåtande,patronize
högdragen,lofty
pga,by virtue of 
"nedsättande, spydig",snide
håna,taunt
hånskratta,jeer at
snarstucken,have a chip on the shoulder 
angripa,assault
brottsling,culprit
trötthet,fatigue
nattlogi,lodging
"jakt, sökande",quest
försonande,redemptive
frossa,wallow
religion,creed
upphöjd,exalted
högg,hewed
oenighet,discord
kurvig,curvaceous
hedning,heathen
rusa ut,dodge out
vårta,wart           
lykta,lantern
orm,serpent
dåsig,drowsy
trassla in,tangle up 
håna,sneer at
aska,cinders           s
trollspö,wand 
suck,sob
hånfullt,scornfully
kraftig   ,stout
"fårråd, lager",hoard
"ren, bara",mere
"förstånd, klokhet",wits
svek,treachery
huka ner sig,crouch
bedrövlig,wretched
berättelse,account
kvinnohatare,misogynist
hungersnöd,famine
plundra,sack
skydda,safeguard
"förmå, tvinga",prompt
överföra,transpose
ha kontakt med,liaise with
fiendeskap,antagonism
hemsöka,infest
"grej, apparat",contraption
ursinnig,frantic
drypa,ooze
fräsa till,snap
morra,snarl
asätare,scavenger
försening,defferal
ohämmat,unbridled
"tragisk, skadad",stricken
"början, start",outset
"granskning, taöver",overhaul
locka,lure
"incitament, motiv för ett visst handlande",inducement
urspårad,derailed
to disable,incapacitate
vaksamhet,vigilance
"Ytlig, översiktlig",cursory
doftande luft,redolent air
passera snabbt förbi,breeze
"bergänsing, ingränsning",curb
"position, (kropps) hållning",stance
förebygga,preclude
svår situation,predicament
uppenbart,evident
försumma,abrogate
förresten,Incidentally
"utbredd, omfattande, vanlig",rampant
Tjuvjakt,poaching
"öka, snabba på",ramp up
utsatt för fara,peril
omtvistad,contentious
egentligen,intrinsically
tollerera,abide
